C:\Users\doric\Desktop\NEUMRE_Projekt>
C:\Users\doric\Desktop\NEUMRE_Projekt>python trainer.py
Epoch [1/100], Loss: 13.5838, Accuracy: 18.22%
Epoch [2/100], Loss: 4.3049, Accuracy: 22.30%
Epoch [3/100], Loss: 2.9065, Accuracy: 19.10%
Epoch [4/100], Loss: 2.7275, Accuracy: 20.12%
Epoch [5/100], Loss: 2.1651, Accuracy: 19.10%
Epoch [6/100], Loss: 2.5906, Accuracy: 19.68%
Epoch [7/100], Loss: 2.3404, Accuracy: 21.43%
Epoch [8/100], Loss: 1.9324, Accuracy: 25.80%
Epoch [9/100], Loss: 1.9710, Accuracy: 31.34%
Epoch [10/100], Loss: 1.8559, Accuracy: 32.36%
Epoch [11/100], Loss: 1.5615, Accuracy: 36.59%
Epoch [12/100], Loss: 1.4277, Accuracy: 35.86%
Epoch [13/100], Loss: 1.3676, Accuracy: 37.90%
Epoch [14/100], Loss: 1.3362, Accuracy: 39.94%
Epoch [15/100], Loss: 1.3311, Accuracy: 39.21%
Epoch [16/100], Loss: 1.3406, Accuracy: 42.71%
Epoch [17/100], Loss: 1.3263, Accuracy: 41.25%
Epoch [18/100], Loss: 1.3099, Accuracy: 40.67%
Epoch [19/100], Loss: 1.2642, Accuracy: 46.36%
Epoch [20/100], Loss: 1.2884, Accuracy: 43.88%
Epoch [21/100], Loss: 1.2393, Accuracy: 44.02%
Epoch [22/100], Loss: 1.2545, Accuracy: 46.06%
Epoch [23/100], Loss: 1.2635, Accuracy: 44.02%
Epoch [24/100], Loss: 1.2256, Accuracy: 46.06%
Epoch [25/100], Loss: 1.2355, Accuracy: 45.92%
Epoch [26/100], Loss: 1.2035, Accuracy: 47.08%
Epoch [27/100], Loss: 1.1790, Accuracy: 48.25%
Epoch [28/100], Loss: 1.1811, Accuracy: 49.27%
Epoch [29/100], Loss: 1.1822, Accuracy: 47.08%
Epoch [30/100], Loss: 1.1593, Accuracy: 49.56%
Epoch [31/100], Loss: 1.1569, Accuracy: 48.25%
Epoch [32/100], Loss: 1.1408, Accuracy: 50.29%
Epoch [33/100], Loss: 1.1325, Accuracy: 51.02%
